zip,houseprice,ces,county,pctbytransit,crime,testscore
90001,393394,63.794375,Los Angeles County,0.065418525,583.4,2437.9
90002,389074,58.8625,Los Angeles County,0.065418525,583.4,2503.2
90004,1169838,42.31529412,Los Angeles County,0.065418525,583.4,2403.5
90005,841408,34.39571429,Los Angeles County,0.065418525,583.4,2457
90007,703364,48.39714286,Los Angeles County,0.065418525,583.4,2488.1
90011,428375,58.65428571,Los Angeles County,0.065418525,583.4,2490.1
90015,687422,47.46166667,Los Angeles County,0.065418525,583.4,2404.55
90017,721816,47.0625,Los Angeles County,0.065418525,583.4,2391
90019,1072096,41.78,Los Angeles County,0.065418525,583.4,2463.2
90021,649322,67.15666667,Los Angeles County,0.065418525,583.4,2372.9
90023,441514,67.27,Los Angeles County,0.065418525,583.4,2373.8
90026,876641,44.81428571,Los Angeles County,0.065418525,583.4,2402.6
90034,1300292,32.07588235,Los Angeles County,0.065418525,583.4,2404.8
90039,934444,45.64,Los Angeles County,0.065418525,583.4,2450.8
90042,781608,31.165625,Los Angeles County,0.065418525,583.4,2444.9
90043,669190,41.55454545,Los Angeles County,0.065418525,583.4,2443.5
90044,444721,49.37653846,Los Angeles County,0.065418525,583.4,2484.1
90046,1323987,24.40923077,Los Angeles County,0.065418525,583.4,2478.2
90057,573023,44.76454545,Los Angeles County,0.065418525,583.4,2459.1
90062,602765,54.012,Los Angeles County,0.065418525,583.4,2427.9
90063,494109,51.53625,Los Angeles County,0.065418525,583.4,2453.333333
90065,842366,43.18461538,Los Angeles County,0.065418525,583.4,2446.1
90066,1500791,23.04466667,Los Angeles County,0.065418525,583.4,2475.35
90077,2540317,10.28,Los Angeles County,0.065418525,583.4,2565.5
90221,416836,57.36818182,Los Angeles County,0.065418525,583.4,2508.95
90232,1422596,26.33,Los Angeles County,0.065418525,583.4,2492.8
90241,594896,35.245,Los Angeles County,0.065418525,583.4,2436.6
90250,654810,46.542,Los Angeles County,0.065418525,583.4,2466.85
90260,592509,40.25,Los Angeles County,0.065418525,583.4,2408.6
90262,433027,50.31,Los Angeles County,0.065418525,583.4,2444.3
90266,2298851,5.90625,Los Angeles County,0.065418525,583.4,2549.2
90275,1299282,6.31,Los Angeles County,0.065418525,583.4,2501
90280,448730,50.49666667,Los Angeles County,0.065418525,583.4,2441.3
90301,493702,47.5,Los Angeles County,0.065418525,583.4,2442.9
90303,565205,42.98285714,Los Angeles County,0.065418525,583.4,2512.9
90304,529801,53.795,Los Angeles County,0.065418525,583.4,2484.1
90405,1701409,21.192,Los Angeles County,0.065418525,583.4,2469.3
90604,557760,29.37555556,Los Angeles County,0.065418525,583.4,2577.6
90605,522703,32.49375,Los Angeles County,0.065418525,583.4,2446.1
90606,494778,51.33333333,Los Angeles County,0.065418525,583.4,2429.7
90640,548800,43.39,Los Angeles County,0.065418525,583.4,2421.9
90650,485145,44.89571429,Los Angeles County,0.065418525,583.4,2431
90660,488136,45.11230769,Los Angeles County,0.065418525,583.4,2463.5
90710,590133,35.4575,Los Angeles County,0.065418525,583.4,2433.7
90723,427968,55.23818182,Los Angeles County,0.065418525,583.4,2447.8
90731,600346,42.54357143,Los Angeles County,0.065418525,583.4,2421.4
90804,473803,41.8825,Los Angeles County,0.065418525,583.4,2478
90807,636989,23.19285714,Los Angeles County,0.065418525,583.4,2479.166667
90810,473149,50.944,Los Angeles County,0.065418525,583.4,2489.5
90814,688200,20.15333333,Los Angeles County,0.065418525,583.4,2483.2
91001,857563,17.98428571,Los Angeles County,0.065418525,583.4,2411.1
91016,721055,23.96111111,Los Angeles County,0.065418525,583.4,2446.1
