zip,houseprice,ces,testscore,transitscore
90012,588745,47.59,2588.7,0
90045,1203753,26.041,2596.3,4.7
90201,449154,57.69636364,2380.4,7.3
90221,416836,57.36818182,2467.8,7.7
90245,1349619,16.6525,2531.6,5.8
90266,2298851,5.90625,2661.9,5.6
90270,427977,52.17428571,2427,6.5
90274,1736360,5.592857143,2539.6,3.4
90292,1161824,23.1075,2372.3,7.6
90304,529801,53.795,2645.6,8.5
90601,582893,35.51777778,2408.4,5
90704,730999,17.05,2400.1,2.7
91008,1372481,7.11,2453.8,4
91011,1520288,9.044,2648.6,3.8
91024,1026744,9.88,2556.8,4
91030,1086590,11.54,2690.1,8.5
91108,1999664,8.695,2680.1,5.6
91302,1363627,11.5825,2565,2.3
91307,707883,16.27142857,2456.4,0
91320,711447,14.01333333,2495.4,2.5
91377,823531,5.245,2704.9,0
91381,758471,13.845,2501,4.9
91384,570306,17.87333333,2449,2.9
91733,499543,54.076,2421.4,5.8
91770,608559,41.665,2636.3,6.3
91775,893918,14.71166667,2472.7,6.4
91906,325196,27.75,2477.1,0.7
92004,214141,23.87,2560.2,0.5
92014,1752856,4.0775,2504.9,5.1
92036,378019,14.74,2358.9,0.5
92040,501224,16.31666667,2614.7,0.5
92058,464287,20.395,2498.8,1.9
92203,352848,16.514,2494.1,2.9
92227,230478,41.218,2528,0
92233,120190,44.35,2612.5,0
92240,219158,15.32875,2374.5,5.1
92252,203069,14.135,2367.4,1.1
92254,175750,45.66,2382.5,4.6
92256,199263,21.425,2431.9,0.6
92270,513809,8.564,2591.4,3.6
92274,136364,33.7025,2361.1,0
92276,238973,21.49,2408.3,2.9
92284,209925,19.47333333,2452.3,2
92314,275717,18.53833333,2518.3,2.1
92344,322693,28.22,2499.4,1.7
92356,170858,30.245,2575.5,0.8
92359,333457,26.86,2402.7,4.9
92392,268820,27.76166667,2433,3.7
92395,243488,37.23666667,2514.4,1.7
92407,336041,38.385,2566.6,4
92507,381176,49.65363636,2434.6,4.4
92530,355393,30.056,2384.3,2.1
92539,283336,16.25,2580.3,0
92545,284783,33.19285714,2404,1.7
92563,447735,19.19,2450.9,1.8
92567,350327,32.61,2637.5,0
92570,341877,49.66,2411.5,3.2
92587,402926,18.2275,2422.5,1.3
92882,506531,25.602,2440.5,3.6
92883,508383,22.79,2447.8,0.8
93001,658157,24.45,2441.5,5.2
93004,582369,20.4725,2433.7,4
93015,455321,27.335,2360.5,1.5
93035,629358,17.4,2409.8,1.3
93060,445955,22.86714286,2500.4,1.1
93063,586320,18.94,2681.7,2.9
93105,1182251,6.311428571,2430.4,1
93108,2977270,5.646666667,2538.5,3.3
93117,841300,7.952727273,2443.8,5.4
93203,180953,39.5925,2398,0.7
93210,184503,33.57,2483.8,1.1
93215,213521,43.484,2398.7,3.7
93234,158225,40.015,2442.5,1.2
93245,253959,36.86666667,2421.3,4.2
93247,193212,38.0275,2385.8,0.9
93250,194724,47.51666667,2421.9,1
93252,136670,28.32,2425.9,0
93256,149154,52.66,2453.8,1.5
93257,204336,40.31666667,2347.7,3.8
93263,210124,47.4375,2433.3,0
93265,311390,22.38,2446.1,0
93267,181833,47.4,2379.5,1
93268,128147,36.62333333,2428.4,0.8
93271,326961,23.06,2451,0.7
