,zip,alltransit_performance_score
0,94597,7.5
1,95220,0.7
2,93510,1.1
3,92301,3.0
4,96006,0.2
5,91301,3.1
6,91390,0.3
7,92536,0.0
8,93601,0.0
9,90045,4.7
10,94501,7.4
11,94507,1.9
12,94706,8.7
13,95410,0.5
14,95511,0.5
15,91801,7.2
16,94553,2.7
17,92656,1.5
18,95910,0.0
19,95688,0.1
20,93219,0.0
21,95923,0.5
22,90249,6.4
23,93201,0.0
24,91901,2.2
25,96120,0.0
26,95701,0.4
27,91001,5.8
28,95949,0.4
29,94941,6.2
30,96101,0.6
31,95127,7.3
32,95601,0.7
33,94503,3.2
34,95076,4.6
35,92805,4.9
36,95445,0.5
37,96007,2.0
38,95222,0.7
39,94508,0.0
40,95843,1.3
41,94509,6.6
42,92539,0.0
43,92307,2.8
44,95003,5.0
45,95076,3.4
46,95912,0.0
47,91007,6.8
48,95521,3.0
49,95864,5.7
50,93202,3.2
51,95223,0.8
52,95004,0.0
53,93420,3.2
54,90701,6.4
55,95913,0.0
56,93203,0.7
57,94578,8.7
58,93546,0.5
59,93422,2.5
60,94027,5.4
61,95301,3.2
62,93602,0.0
63,95603,2.1
64,95614,0.0
65,95205,3.3
66,90704,2.7
67,93204,1.0
68,95247,0.5
69,93424,1.1
70,91746,5.1
71,91702,7.3
72,92309,0.0
73,93301,4.4
74,91706,6.8
75,93463,0.0
76,95303,0.8
77,95914,0.1
78,92220,2.6
79,92311,4.3
80,93604,0.6
81,94565,7.3
82,95503,5.1
83,95503,2.4
84,95903,0.0
85,95340,1.0
86,95223,0.0
87,95223,0.0
88,93561,0.0
89,92223,2.5
90,96129,0.0
91,95915,0.4
92,90201,7.3
93,96003,0.4
94,91307,0.0
95,90706,7.1
96,90201,6.3
97,94002,6.1
98,94920,5.4
99,95542,0.7
100,96080,0.6
101,94510,2.5
102,95005,4.4
103,93512,0.2
104,94704,8.8
105,92203,2.9
106,95916,0.0
107,95531,2.3
108,94561,0.0
109,90210,8.2
110,96009,0.2
111,92314,2.1
112,92315,1.9
113,96011,0.4
114,93605,0.0
115,95917,0.8
116,95570,0.7
117,93513,1.0
118,92242,0.0
119,93723,0.0
120,93514,0.7
121,94506,0.3
122,93444,0.0
123,94945,2.5
124,96103,0.4
125,94952,0.5
126,92316,4.6
127,95521,0.0
128,92242,0.0
129,92225,2.6
130,94922,0.4
131,94923,0.5
132,93205,1.2
133,94924,0.9
134,92257,0.0
135,93636,0.3
136,91902,2.1
137,95060,2.0
138,92003,1.4
139,95415,0.4
140,95338,0.0
141,93516,0.5
142,93907,3.3
143,92004,0.5
144,92021,4.5
145,95006,4.1
146,91905,0.4
147,93725,0.7
148,95476,3.2
149,91008,4.0
150,93426,0.6
151,92227,0.0
152,92821,3.3
153,94513,3.7
154,95358,4.2
155,93517,0.3
156,94005,6.6
157,94015,8.3
158,95007,3.3
159,95490,0.1
160,95666,0.8
161,95321,0.5
162,95971,0.0
163,93427,1.2
164,90621,5.8
165,95640,1.0
166,91502,6.8
167,91502,8.5
168,94010,7.4
169,96013,0.5
170,95527,0.4
171,95928,1.4
172,95942,0.0
173,95965,0.3
174,93206,0.0
175,94514,0.5
176,95351,5.3
177,92230,1.8
178,91302,2.3
179,92231,0.0
180,93505,0.8
181,93207,0.0
182,96101,0.2
183,92320,2.3
184,92233,0.0
185,94515,2.5
186,93420,0.0
187,95482,1.0
188,96124,0.0
189,93725,5.8
190,95640,0.1
191,95640,0.1
192,93010,2.5
193,93428,1.1
194,95124,5.4
195,95682,2.1
196,95709,1.3
197,94506,0.8
198,95008,7.3
199,93265,0.0
200,91906,0.7
201,92058,1.9
202,92058,1.9
203,95922,0.0
204,96015,0.3
205,93608,0.3
206,96137,0.5
207,92587,1.3
208,95010,5.0
209,95984,0.4
210,92008,3.7
211,93923,5.4
212,93924,2.0
213,94923,0.6
214,95608,4.0
215,96140,3.4
216,93013,6.3
217,96094,0.0
218,90745,6.0
219,93549,0.3
220,93609,0.5
221,91320,2.5
222,91941,2.8
223,93429,1.2
224,95420,1.0
225,96016,0.2
226,91384,2.9
227,94507,4.1
228,94546,5.4
229,95012,3.5
230,92234,5.0
231,95306,0.7
232,93430,1.3
233,95421,0.8
234,95945,0.7
235,93265,0.0
236,96104,0.2
237,93657,0.3
238,95307,2.5
239,90703,5.7
240,93514,0.2
241,95919,0.3
242,93035,1.3
243,91724,5.8
244,95965,1.2
245,93263,0.0
246,94541,7.6
247,92223,1.8
248,96020,1.1
249,95928,5.1
250,95667,0.0
251,93555,0.0
252,95327,0.0
253,91710,4.7
254,91709,2.3
255,93610,1.2
256,93925,1.6
257,91910,5.7
258,91702,5.7
259,95610,4.5
260,91711,5.6
261,95612,0.1
262,90012,0.0
263,94517,3.1
264,96137,0.8
265,95422,3.0
266,95423,2.5
267,95451,0.9
268,95437,0.0
269,96106,0.4
270,95930,0.0
271,95425,3.4
272,93612,1.1
273,94520,3.6
274,92236,5.0
275,93210,1.1
